GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
testes_at,org.dlpk.Exercicio2,MathFunctions,5,66,2,10,0,17,2,9,0,5
testes_at,org.dlpk.Exercicio3,Endereco,0,35,0,0,0,2,0,2,0,2
testes_at,org.dlpk.Exercicio4,RegisterPageObject,4,219,1,1,1,35,1,2,0,2
testes_at,org.dlpk.Exercicio4,LoginPageObject,6,130,2,2,2,24,2,4,0,4
testes_at,org.dlpk.Exercicio4,BasePageObject,11,73,1,3,3,15,2,8,1,7
testes_at,org.dlpk.Exercicio4,AccountCreatedPageObject,4,9,1,1,1,3,1,1,0,1
testes_at,org.dlpk.Exercicio4,HomePageObject,4,9,0,2,1,3,0,2,0,1
testes_at,org.dlpk.Exercicio5,NumberOfDigits,37,11,6,2,3,5,6,2,3,1
testes_at,org.dlpk.Exercicio5,RadixSort,0,168,0,14,0,34,0,16,0,9
testes_at,org.dlpk.Exercicio1,CalculoIMC,75,74,6,20,17,16,9,9,3,2
testes_at,org.dlpk,Main,7,0,0,0,3,0,2,0,2,0
